Gene,HE-5
ENSMUSG00000051951,0
ENSMUSG00000089699,0
ENSMUSG00000102331,0
ENSMUSG00000102343,0
ENSMUSG00000025900,0
ENSMUSG00000025902,0
ENSMUSG00000104238,0
ENSMUSG00000104328,0
ENSMUSG00000033845,1529
ENSMUSG00000025903,1359
ENSMUSG00000033813,3056
ENSMUSG00000002459,0
ENSMUSG00000085623,0
ENSMUSG00000033793,1986
ENSMUSG00000025905,0
ENSMUSG00000033774,0
ENSMUSG00000025907,531
ENSMUSG00000090031,16
ENSMUSG00000087247,0
ENSMUSG00000033740,1
ENSMUSG00000051285,728
ENSMUSG00000097797,9
ENSMUSG00000103067,0
ENSMUSG00000025909,0
ENSMUSG00000061024,1980
ENSMUSG00000025911,176
ENSMUSG00000079671,67
ENSMUSG00000067879,22
ENSMUSG00000099827,0
ENSMUSG00000025912,182
ENSMUSG00000045210,1005
ENSMUSG00000097893,2
ENSMUSG00000025915,602
ENSMUSG00000046101,12
ENSMUSG00000098234,524
ENSMUSG00000099032,0
ENSMUSG00000025916,2
ENSMUSG00000087199,0
ENSMUSG00000025917,2234
ENSMUSG00000056763,834
ENSMUSG00000067851,2903
ENSMUSG00000042501,1
ENSMUSG00000048960,1270
ENSMUSG00000057715,5
ENSMUSG00000097171,0
ENSMUSG00000101314,0
ENSMUSG00000016918,1
ENSMUSG00000025938,0
ENSMUSG00000099498,0
ENSMUSG00000042414,0
ENSMUSG00000005886,1824
ENSMUSG00000101476,0
ENSMUSG00000025935,2724
ENSMUSG00000025937,1039
ENSMUSG00000067813,0
ENSMUSG00000025932,790
ENSMUSG00000054493,0
ENSMUSG00000025930,0
ENSMUSG00000032769,0
ENSMUSG00000092083,0
ENSMUSG00000025925,444
ENSMUSG00000032719,4
ENSMUSG00000067795,1
ENSMUSG00000043716,15366
ENSMUSG00000025921,106
ENSMUSG00000100868,0
ENSMUSG00000025920,354
ENSMUSG00000089982,0
ENSMUSG00000025939,534
ENSMUSG00000079658,2036
ENSMUSG00000097744,0
ENSMUSG00000025940,1110
ENSMUSG00000025779,93
ENSMUSG00000101640,0
ENSMUSG00000042686,0
ENSMUSG00000100110,0
ENSMUSG00000025777,0
ENSMUSG00000099899,0
ENSMUSG00000067780,0
ENSMUSG00000100053,0
ENSMUSG00000085125,0
ENSMUSG00000025776,0
ENSMUSG00000099895,0
ENSMUSG00000109887,0
ENSMUSG00000025774,0
ENSMUSG00000073735,0
ENSMUSG00000067773,0
ENSMUSG00000089787,0
ENSMUSG00000042596,0
ENSMUSG00000025927,2
