Gene,M-6
ENSMUSG00000051951,0
ENSMUSG00000089699,0
ENSMUSG00000102331,0
ENSMUSG00000102343,0
ENSMUSG00000025900,0
ENSMUSG00000025902,0
ENSMUSG00000104238,0
ENSMUSG00000104328,0
ENSMUSG00000033845,1620
ENSMUSG00000025903,1833
ENSMUSG00000033813,3382
ENSMUSG00000002459,1
ENSMUSG00000085623,0
ENSMUSG00000033793,2108
ENSMUSG00000025905,0
ENSMUSG00000033774,0
ENSMUSG00000025907,505
ENSMUSG00000090031,31
ENSMUSG00000087247,0
ENSMUSG00000033740,0
ENSMUSG00000051285,833
ENSMUSG00000097797,8
ENSMUSG00000103067,0
ENSMUSG00000025909,0
ENSMUSG00000061024,2062
ENSMUSG00000025911,320
ENSMUSG00000079671,80
ENSMUSG00000067879,10
ENSMUSG00000099827,0
ENSMUSG00000025912,230
ENSMUSG00000045210,1042
ENSMUSG00000097893,4
ENSMUSG00000025915,654
ENSMUSG00000046101,13
ENSMUSG00000098234,544
ENSMUSG00000099032,2
ENSMUSG00000025916,0
ENSMUSG00000087199,0
ENSMUSG00000025917,2389
ENSMUSG00000056763,801
ENSMUSG00000067851,3083
ENSMUSG00000042501,2
ENSMUSG00000048960,789
ENSMUSG00000057715,2
ENSMUSG00000097171,0
ENSMUSG00000101314,0
ENSMUSG00000016918,0
ENSMUSG00000025938,0
ENSMUSG00000099498,0
ENSMUSG00000042414,1
ENSMUSG00000005886,1712
ENSMUSG00000101476,0
ENSMUSG00000025935,3450
ENSMUSG00000025937,1395
ENSMUSG00000067813,2
ENSMUSG00000025932,1070
ENSMUSG00000054493,0
ENSMUSG00000025930,0
ENSMUSG00000032769,0
ENSMUSG00000092083,0
ENSMUSG00000025925,468
ENSMUSG00000032719,4
ENSMUSG00000067795,0
ENSMUSG00000043716,16537
ENSMUSG00000025921,124
ENSMUSG00000100868,0
ENSMUSG00000025920,554
ENSMUSG00000089982,0
ENSMUSG00000025939,631
ENSMUSG00000079658,2236
ENSMUSG00000097744,0
ENSMUSG00000025940,1195
ENSMUSG00000025779,114
ENSMUSG00000101640,0
ENSMUSG00000042686,0
ENSMUSG00000100110,0
ENSMUSG00000025777,0
ENSMUSG00000099899,0
ENSMUSG00000067780,0
ENSMUSG00000100053,0
ENSMUSG00000085125,0
ENSMUSG00000025776,0
ENSMUSG00000099895,0
ENSMUSG00000109887,0
ENSMUSG00000025774,0
ENSMUSG00000073735,0
ENSMUSG00000067773,0
ENSMUSG00000089787,0
ENSMUSG00000042596,0
ENSMUSG00000025927,1
